,,,,,"FuF"
0,"Innervate",2,100.0%,,2
0,"Moonfire",2,100.0%,,2
0,"Pounce",2,100.0%,,2
1,"Barkskin",2,100.0%,,2
1,"Biology Project",2,100.0%,,2
1,"Earthen Scales",1,100.0%,,1
1,"Floop's Glorious Gloop",1,100.0%,,1
1,"Lesser Jasper Spellstone",2,100.0%,,2
1,"Naturalize",2,100.0%,,2
2,"Wild Pyromancer",2,100.0%,,2
2,"Wrath",2,100.0%,,2
3,"Acolyte of Pain",2,100.0%,,2
3,"Ferocious Howl",2,100.0%,,2
4,"Branching Paths",2,100.0%,,2
4,"Oaken Summons",1,100.0%,,1
6,"Gadgetzan Auctioneer",2,100.0%,,2
10,"Mecha'thun",1,100.0%,,1
