,,,,,"Sooni","ulza8102","Ruby"
0,"Circle of Healing",6,100.0%,,2,2,2
0,"Silence",5,83.3%,,1,2,2
1,"Inner Fire",6,100.0%,,2,2,2
1,"Northshire Cleric",6,100.0%,,2,2,2
1,"Power Word: Shield",6,100.0%,,2,2,2
2,"Divine Spirit",6,100.0%,,2,2,2
2,"Firetree Witchdoctor",2,33.3%,,,,2
2,"Radiant Elemental",6,100.0%,,2,2,2
2,"Shadow Ascendant",1,33.3%,,1,,
2,"Shadow Visions",6,100.0%,,2,2,2
2,"Wild Pyromancer",6,100.0%,,2,2,2
3,"Acolyte of Pain",5,83.3%,,1,2,2
3,"Banana Buffoon",1,33.3%,,,1,
3,"Extra Arms",3,100.0%,,1,1,1
3,"Injured Blademaster",1,33.3%,,1,,
3,"Tar Creeper",1,33.3%,,1,,
4,"Auchenai Soulpriest",1,33.3%,,1,,
4,"Duskbreaker",2,33.3%,,,,2
4,"Eternal Servitude",4,66.7%,,2,2,
4,"Mass Dispel",1,33.3%,,1,,
4,"Twilight Drake",2,33.3%,,,,2
4,"Unpowered Steambot",1,33.3%,,1,,
5,"Lyra the Sunshard",2,66.7%,,1,1,
5,"Mass Hysteria",1,33.3%,,,1,
5,"Witchwood Grizzly",5,83.3%,,2,2,1
8,"Primordial Drake",2,33.3%,,,,2
12,"Grave Horror",2,33.3%,,,2,
