,,,,,"lii#11987"
0,"Circle of Healing",2,100.0%,,2
1,"Inner Fire",2,100.0%,,2
1,"Northshire Cleric",2,100.0%,,2
1,"Power Word: Shield",2,100.0%,,2
2,"Divine Spirit",2,100.0%,,2
2,"Radiant Elemental",2,100.0%,,2
2,"Shadow Ascendant",2,100.0%,,2
2,"Shadow Visions",2,100.0%,,2
2,"Wild Pyromancer",2,100.0%,,2
3,"Acolyte of Pain",2,100.0%,,2
3,"Twilight Acolyte",2,100.0%,,2
4,"Duskbreaker",2,100.0%,,2
4,"Mass Dispel",1,100.0%,,1
4,"Twilight Drake",2,100.0%,,2
5,"Lyra the Sunshard",1,100.0%,,1
7,"Nightscale Matriarch",2,100.0%,,2
