,,,,,"Duarte#21328"
1,"Lesser Jasper Spellstone",2,100.0%,,2
2,"Power of the Wild",2,100.0%,,2
2,"Wild Growth",2,100.0%,,2
3,"Greedy Sprite",2,100.0%,,2
3,"Savage Roar",2,100.0%,,2
4,"Branching Paths",2,100.0%,,2
4,"Oaken Summons",2,100.0%,,2
4,"Soul of the Forest",2,100.0%,,2
4,"Swipe",2,100.0%,,2
4,"Violet Teacher",2,100.0%,,2
4,"Wispering Woods",2,100.0%,,2
5,"Nourish",2,100.0%,,2
6,"Spreading Plague",2,100.0%,,2
7,"Malfurion the Pestilent",1,100.0%,,1
9,"Cenarius",1,100.0%,,1
10,"Ultimate Infestation",2,100.0%,,2
