Kobold Librarian,130,Warlock,WARLOCK,COMMON,LOOTAPALOOZA,40,0,5200,,,,,,,,,,,
Hellfire,128,Warlock,WARLOCK,FREE,CORE,0,0,0,,,,,,,,,,,
Dark Pact,128,Warlock,WARLOCK,COMMON,LOOTAPALOOZA,40,0,5120,,,,,,,,,,,
Voidlord,128,Warlock,WARLOCK,EPIC,LOOTAPALOOZA,400,0,51200,,,,,,,,,,,
Lesser Amethyst Spellstone,128,Warlock,WARLOCK,RARE,LOOTAPALOOZA,100,0,12800,,,Priest,,,,,,,,
Possessed Lackey,127,Warlock,WARLOCK,RARE,LOOTAPALOOZA,100,0,12700,,EXPERT1,83360,,,,,,,,
Defile,127,Warlock,WARLOCK,RARE,ICECROWN,100,0,12700,,UNGORO,46440,,,,,,,,
Knife Juggler,108,Paladin,NEUTRAL,RARE,EXPERT1,100,0,10800,,ICECROWN,55680,,,,,,,,
Call to Arms,108,Paladin,PALADIN,EPIC,LOOTAPALOOZA,400,0,43200,,LOOTAPALOOZA,41000,,,,,,,,
Ultimate Infestation,107,Druid,DRUID,EPIC,ICECROWN,400,0,42800,,GILNEAS,6240,,,,,,,,
Blessing of Kings,103,Paladin,PALADIN,FREE,CORE,0,0,0,,,,,,,,,,,
Greedy Sprite,100,Druid,DRUID,RARE,LOOTAPALOOZA,100,0,10000,,,,,,,,,,,
Saronite Chain Gang,96,Druid,NEUTRAL,RARE,ICECROWN,100,0,9600,,,,,,,,,,,
Spiteful Summoner,96,Druid,NEUTRAL,EPIC,LOOTAPALOOZA,400,0,38400,,,Druid,Mage,Warlock,Warrior,Priest,Paladin,Shaman,Rogue,Hunter
Fungalmancer,95,Druid,NEUTRAL,COMMON,LOOTAPALOOZA,40,0,3800,,EXPERT1," 46,680 "," 59,780 "," 124,740 "," 44,580 "," 83,360 "," 90,820 "," 8,780 "," 78,620 "," 5,680 "
Fire Fly,95,Druid,NEUTRAL,COMMON,UNGORO,40,0,3800,,UNGORO," 35,240 "," 28,440 "," 70,860 "," 23,560 "," 46,440 "," 103,740 ", 600 ," 58,060 ", 640 
Glacial Shard,95,Druid,NEUTRAL,COMMON,UNGORO,40,0,3800,,ICECROWN," 312,340 "," 6,800 "," 174,100 "," 12,320 "," 55,680 "," 32,920 "," 7,800 "," 23,240 "," 6,400 "
Doomsayer,94,Warlock,NEUTRAL,EPIC,EXPERT1,400,0,37600,,LOOTAPALOOZA," 113,760 "," 57,400 "," 246,060 "," 14,000 "," 41,000 "," 98,040 ", -   ," 72,480 "," 12,160 "
Spellbreaker,93,Druid,NEUTRAL,COMMON,EXPERT1,40,0,3720,,GILNEAS," 9,440 "," 16,020 "," 102,400 "," 25,440 "," 6,240 "," 101,380 "," 11,040 "," 27,880 "," 3,600 "
Consecration,91,Paladin,PALADIN,FREE,CORE,0,0,0,,,,,,,,,,,
Spellbreaker,91,Paladin,NEUTRAL,COMMON,EXPERT1,40,0,3640,,,,,,,,,,,
Doomguard,90,Warlock,WARLOCK,RARE,EXPERT1,100,0,9000,,,,,,,,,,,
Truesilver Champion,89,Paladin,PALADIN,FREE,CORE,0,0,0,,,,,,,,,,,
Equality,89,Paladin,PALADIN,RARE,EXPERT1,100,0,8900,,,,,,,,,,,
Avenging Wrath,88,Paladin,PALADIN,EPIC,EXPERT1,400,0,35200,,,,,,,,,,,
Crypt Lord,88,Druid,DRUID,COMMON,ICECROWN,40,0,3520,,,,,,,,,,,
Carnivorous Cube,87,Warlock,NEUTRAL,EPIC,LOOTAPALOOZA,400,0,34800,,,,,,,,,,,
Amani Berserker,84,Paladin,NEUTRAL,COMMON,EXPERT1,40,0,3360,,,,,,,,,,,
Druid of the Scythe,83,Druid,DRUID,COMMON,GILNEAS,40,0,3320,,,,,,,,,,,
Vicious Fledgling,82,Druid,NEUTRAL,RARE,UNGORO,100,0,8200,,,,,,,,,,,
Plated Beetle,80,Warlock,NEUTRAL,COMMON,LOOTAPALOOZA,40,0,3200,,,,,,,,,,,
Faceless Manipulator,79,Warlock,NEUTRAL,EPIC,EXPERT1,400,0,31600,,,,,,,,,,,
Mountain Giant,78,Warlock,NEUTRAL,EPIC,EXPERT1,400,0,31200,,,,,,,,,,,
Loot Hoarder,78,Paladin,NEUTRAL,COMMON,EXPERT1,40,0,3120,,,,,,,,,,,
Southsea Deckhand,68,Rogue,NEUTRAL,COMMON,EXPERT1,40,0,2720,,,,,,,,,,,
Fire Fly,66,Rogue,NEUTRAL,COMMON,UNGORO,40,0,2640,,,,,,,,,,,
